What is your age?,"How many years of education have you completed? 
 

Completing high school is equivalent to 12 years of education (e.g., an undergraduate student will have completed 14 years of education by the end of their second year at college / university).",Is English your first language?,Do you normally write with your right hand?,What sex were you assigned at birth?,What is your sexual orientation? - Selected Choice,What is your race / ethnicity? - Selected Choice,I am very good at giving directions.,I have a poor memory for where I left things.,I am very good at judging distances.,"My ""sense of direction"" is very good.","I tend to think of my environment in terms of cardinal directions (N, S, E, W).",I very easily get lost in a new city.,I enjoy reading maps.,I have trouble understanding directions.,I am very good at reading maps.,I don't remember routes very well while riding as a passenger in a car.,I don't enjoy giving directions.,It's not important to me to know where I am.,I usually let someone else do the navigational planning for long trips.,I can usually remember a new route after I have traveled it only once.,"I don't have a very good ""mental map"" of my environment.",How many years ago did you start playing ultimate frisbee? - Years,How many years have you played ultimate frisbee for (at least 1 season per year)? - Years,"During that time, what levels of ultimate have you played? (Check all that apply)","What level of play best matches your skill level (it's a challenge, but you can contribute to a team)? PADA players can name the league (FPSL, UHLE, spring league, etc.), other players just describe the level with as much detail as possible.",Have you ever taught or coached ultimate frisbee? (Check all that apply),What is your preferred offensive position?,What is your throwing range? - Backhand,What is your throwing range? - Forehand,What is your preferred defensive position in a zone?,"Do you know what a Force is, in ultimate frisbee lingo?","How comfortable are you with knowing what ""Force Home"" and ""Force Away"" mean?","How comfortable are you with knowing what ""Force Backhand"" and ""Force Forehand (Flick)"" mean?",What hand do you prefer to throw a frisbee with?,"If you had to choose, how would you prefer that the force be called?",How did you answer the questions from the Ultimate Frisbee task? Did you find anything particularly difficult about them?,How did you answer the questions from the Road Intersection task? Did you find anything particularly difficult about them?,Did you have any technical difficulties along the way?,Anything else you want to mention?,confirmationcode,psychopycode,"whicFirst (frizFirst = 1, navFirst = 2)"
22,16,english,not right,female,other,white,3,2,4,6,2,3,5,2,5,2,4,2,2,5,2,8,8,I've played on a club team.,Regional Level Club,"No, not really.",Handler,40 yards or more,20-40 yards,Deep Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Left,Home / Away,Recognizing right hand flick and backhand (compared to my normal left),Right was left and left was right when facing you,no,no,11523224,24523564,1
19,13,english,right,male,heterosexual,white,5,4,5,2,2,3,2,6,3,6,3,4,4,2,6,1,1,"I've played recreationally (pickup, with friends, at camp).,I've played on a college team.","Beginner, improving, but still just average player on Penn B team","No, not really.",Both,40 yards or more,20-40 yards,Cup,Definitely yes,Moderately uncomfortable,Extremely comfortable,Right,Forehand / Backhand,"a little bit in the beginning, and also when the side of the person changed",mostly when the perspective changed,no,no,59902325,26044874,2
23,17,english,right,male,heterosexual,asian,6,3,5,5,"7
(Strongly Agree)
",3,4,3,5,3,4,4,3,6,2,8,5,"I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.",FPSL,Informally to teammates during timeouts or on the sidelines.,Both,40 yards or more,20-40 yards,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,"Not really, some times due to the repetitiveness, I got confused",saying left and right when they were facing me was not super intutitive,No,,47560848,28057826,1
25,16,english,right,female,heterosexual,white,"7
(Strongly Agree)
","1
(Strongly Disagree)
",5,"7
(Strongly Agree)
","7
(Strongly Agree)
",2,"7
(Strongly Agree)
",2,6,2,3,"1
(Strongly Disagree)
","1
(Strongly Disagree)
",5,2,5,5,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.",FPSL,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.",Cutter,10-20 yards,10-20 yards,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,I think I answered the frisbee questions better than the the road questions,got a little tripped up when the person was facing me,no,,92196727,30426108,2
19,13,english,right,male,heterosexual,white,6,4,5,6,4,5,4,2,6,"1
(Strongly Disagree)
",4,2,3,5,3,2,2,"I've played recreationally (pickup, with friends, at camp).,I've played on a high school team.,I've played on a college team.,I've played on a club team.",good college ultimate,"Informally to teammates during timeouts or on the sidelines.,I've taught a clinic to players in middle school or younger.",Cutter,40 yards or more,40 yards or more,Deep Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,I usually looked at the disc and thought about how I would have thrown a forehand or a backhand. ,I had to think about how the person would wave with that hand.,Nope,A very interesting phenomenon. I thought backhand and forehand were easier but really home and away from before. ,58218292,32670019,2
28,20,english,not right,male,heterosexual,white,"7
(Strongly Agree)
",4,5,"7
(Strongly Agree)
","7
(Strongly Agree)
","1
(Strongly Disagree)
","7
(Strongly Agree)
","1
(Strongly Disagree)
","7
(Strongly Agree)
",3,"1
(Strongly Disagree)
","1
(Strongly Disagree)
","1
(Strongly Disagree)
",5,"7
(Strongly Agree)
",2,2,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in a competitive recreational league.",PADA Summer League,"No, not really.",Cutter,40 yards or more,10-20 yards,Deep Deep,Definitely yes,Extremely comfortable,Extremely comfortable,"Both (really ambidextrous, not just a lefty backhand)",Home / Away,No nothing was particularly difficult about the test.,"I had a little bit of difficulty with the person facing at me across the road, but I think i settled into it after a few times answering",None at all.,"I've played lots of team sports my entire life: hockey as a goalie, and soccer as a midfielder, but only ultimate for the past 2 years.",45171900,34545091,2
32,17,english,right,male,heterosexual,asian,4,3,5,4,5,4,5,3,5,5,3,2,2,4,2,18,15,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.",FPSL,"I've captained a recreational team.,I've taught a clinic to players in high school or above.",Both,40 yards or more,40 yards or more,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,,no,no,no,stick figure in demo in part two says to assume all throwers are right handed but there is an image with the player holding the frisbee in it's left hand,94605039,36148861,2
24,18,english,not right,male,heterosexual,white,5,3,6,6,5,2,6,6,6,"7
(Strongly Agree)
",3,4,4,2,6,13,4,"I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played on a college team.",Club,Informally to teammates during timeouts or on the sidelines.,Cutter,40 yards or more,40 yards or more,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Left,Home / Away,Not realy,The home/away were harder when the person wasn't facing you.,NO,NO,88922824,38638936,1
24,16,english,right,male,heterosexual,white,5,2,5,3,"1
(Strongly Disagree)
",2,3,2,5,5,3,"1
(Strongly Disagree)
",2,5,2,9,5,"I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.,I've played on a club team.,I've played on a professional team.",I have played in the AUDL for three years with the Philadelphia Phoenix. I have also played club on an open men's team called Citywide Special out of Philadelphia for four years. I also played for the University of Delaware Sideshow team for three years from my sophomore year through my senior year.,"Informally to teammates during timeouts or on the sidelines.,I've taught a clinic to players in middle school or younger.,I've taught a clinic to players in high school or above.",Cutter,40 yards or more,40 yards or more,Deep Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,By instinct and recognizing what the force was based off of what it said. I felt like the person facing away from me was more difficult than one facing towards me. I also thought that home/away was easier than forehand/backhand.,I used my judgment based off of instinct and recognizing where to go based off of the way the person was facing and where home was. I felt that again home/away was easier than left/right. I also thought that the person facing the opposite way of me was harder than the person facing me.,No not that I'm aware of.,No,40882209,40119543,2
35,16,english,right,male,heterosexual,white,6,2,5,5,4,2,5,2,5,4,3,6,2,5,3,13,10,"I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a club team.",spring league,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.",Cutter,20-40 yards,20-40 yards,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,pictured myself on the field,facing towards me was more difficult,no,,45152129,40321903,2
19,14,not english,right,male,heterosexual,asian,6,4,3,5,3,"1
(Strongly Disagree)
",3,2,5,2,6,3,5,3,4,3,3,"I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.","Division 1 College, Division 2/3 High School","Informally to teammates during timeouts or on the sidelines.,I've taught a clinic to players in middle school or younger.",Both,20-40 yards,40 yards or more,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,no,no,no,no,14064910,40632896,1
28,16,english,right,female,heterosexual,white,6,4,4,5,2,3,5,2,5,4,5,4,2,2,4,7,7,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.",FPSL/Club,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.",Cutter,40 yards or more,20-40 yards,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,person facing toward you for forehand vs back hand took me an second to think,the person facing toward me when the command is left or right,no,makes me think home/away force is easier to understand than backhand/forehand,17903529,41685255,1
26,18,english,right,male,heterosexual,"hisp,white",5,4,3,3,2,3,4,2,5,5,2,3,3,3,4,11,11,"I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.,I've played on a club team.",FPSL,I've captained a recreational team.,Handler,40 yards or more,20-40 yards,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,"Orient which side was home and away first, then look at the player","Orient which side was home and away first, then look at which side of the road the person was on. If they were facing towards me, I would just say ""opposite"" in my head in case the task was directional.",no,"not sure what you're studying, but that was an interesting test",28145,43843481,1
49,18,english,right,female,heterosexual,white,3,"1
(Strongly Disagree)
",5,2,"1
(Strongly Disagree)
",2,5,2,5,"7
(Strongly Agree)
",5,6,6,3,5,17,17,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.","FPSL, Fall Rec League","No, not really.",Both,40 yards or more,10-20 yards,Wing,Definitely yes,Extremely comfortable,Moderately uncomfortable,Right,Home / Away,The home / away was easy unless I went to fast.  Determining Forehand - backhand when the figure was facing me was difficult.,No,No ,No,8812679,44376975,2
33,21,english,right,male,heterosexual,white,5,4,2,6,6,3,"7
(Strongly Agree)
",2,"7
(Strongly Agree)
","7
(Strongly Agree)
",4,5,2,3,3,15,12,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.,I've played on a professional team.",Nationals-level club team,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.,I've taught a clinic to players in middle school or younger.,I coach a high school, college, club, or professional team.",Both,40 yards or more,40 yards or more,Anywhere,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,Definitely takes longer to recognize which way the player is facing using language forehand/backhand instead of home/away (and this was without lefties!),Had trouble when the person was facing me and asked for the direction left which would require selecting the right arrow,,,74779937,44643324,2
22,16,english,right,male,heterosexual,white,4,4,5,3,3,5,"7
(Strongly Agree)
",4,4,"7
(Strongly Agree)
",5,3,2,2,5,11,10,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.,I've played on a club team.",Mixed club nationals,"I've captained a recreational team.,I've taught a clinic to players in high school or above.,I coach a high school, college, club, or professional team.",Handler,40 yards or more,40 yards or more,Deep Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Right,,"i visualized being on defense when the player was facing me, and i visualized being on offense when the player was facing away from me",idk i think struggled a bit more with these,"no, but i probably confused right and left on my keyboard a few times just due to pressing the two buttons so many times consecutively!",this seems like an interesting study! you should post the results on /r/ultimate!,89009412,49320823,2
30,18,english,right,male,heterosexual,white,6,"1
(Strongly Disagree)
",6,6,6,2,6,2,6,2,3,"1
(Strongly Disagree)
",3,6,2,14,14,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a high school team.,I've played on a club team.,I've played on a professional team.","elite level, USA national championships, pro championships","Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.,I've taught a clinic to players in middle school or younger.,I've taught a clinic to players in high school or above.",Cutter,40 yards or more,40 yards or more,Anywhere,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,as quickly as possible but with clear thought. It was not terribly difficult.,"The only difficult decision was when person faces the viewer and the direction was either ""right"" or ""left""",no,"Good work, Steve. Keep it up.",39683254,49541095,1
32,16,english,right,male,heterosexual,white,5,4,6,4,2,4,5,2,5,3,2,"1
(Strongly Disagree)
",4,3,4,14,14,"I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.,I've played on a club team.",Competitive Summer League,Informally to teammates during timeouts or on the sidelines.,Both,40 yards or more,40 yards or more,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,Harder to answer with the person facing me,"Quicker to respond with the person facing away from me, overall faster to answer than the Ultimate task.",No,No,94955502,52817250,1
21,15,english,right,male,heterosexual,white,6,4,3,6,2,3,3,4,6,2,3,3,3,6,2,4,4,"I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played on a high school team.,I've played on a college team.",DI college team that can consistently make regionals but not make much noise once there,Informally to teammates during timeouts or on the sidelines.,Cutter,40 yards or more,20-40 yards,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,"I visualized the direction the thrower would move to make the throw, or matched home and away visually. Fatigue was a bit difficult, as was visualizing something I hadn't had to in a little while when the thrower was facing a different direction than they had for a while.","When the person was facing away I matched left and right as expected; when facing toward, I matched opposites. No visualization involved in this task.",Nope,"This has been great procrastination from my studying, but it would've been more fun if I were actually playing ultimate.",37321852,55421948,2
31,19,english,right,female,heterosexual,white,"7
(Strongly Agree)
",5,4,6,"7
(Strongly Agree)
",2,"7
(Strongly Agree)
",4,6,6,"1
(Strongly Disagree)
","1
(Strongly Disagree)
",2,5,2,1,1,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.",UHLE,"No, not really.",Cutter,10-20 yards,10-20 yards,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,I know I got (at least) one wrong- not sure why but just clicked wrong button. ,imagining directions from perspective of someone looking at me is a little challenging,no,will you share the results with PADA when you're done?,79597991,55572456,2
18,12,english,right,male,heterosexual,white,6,2,5,"7
(Strongly Agree)
",4,4,"1
(Strongly Disagree)
",2,5,2,3,2,4,4,2,1,0,"I've played recreationally (pickup, with friends, at camp).,I've played on a college team.,I've played on a club team.","Club level, played in a few tournaments and faired decently well.  Placed on the B team on our college club team.","No, not really.",Cutter,20-40 yards,10-20 yards,Cup,Definitely yes,Moderately comfortable,Extremely comfortable,Right,Forehand / Backhand,The ultimate frisbee task questions were fairly simple to answer,I found it difficult at first to understand if the direction were telling me which way the person would move from my perspective or from their perspective.,No technical difficulties,"Once I grasped the concept of which direction I was supposed to put, it became more routine than intuition.",98946092,56499208,2
18,12,english,right,male,heterosexual,white,6,2,6,5,"1
(Strongly Disagree)
",3,5,2,4,2,5,2,4,3,3,3,3,"I've played on a high school team.,I've played on a college team.","High level D1 High School, PHUEL","Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.",Both,40 yards or more,40 yards or more,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,No they were all straight forward,The opposite direction was more confusing,No,No,42100979,56594642,2
32,18,english,right,male,heterosexual,"hisp,white",6,3,3,5,6,2,5,"1
(Strongly Disagree)
",6,3,4,"1
(Strongly Disagree)
",2,4,"1
(Strongly Disagree)
",14,11,"I've played recreationally (pickup, with friends, at camp).,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.",Regionals level club team,"I coach a high school, college, club, or professional team.",Both,20-40 yards,40 yards or more,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,"Regardless of force lingo or direction, felt like the perspective was still stationary",Felt like the directional arrows were backwards and perspective kept changing,No,"In my experience, ultimate players are intelligent people with really low sports IQs with some exceptions",63699797,58799837,2
20,13,english,right,male,heterosexual,black/afri-amer,5,6,6,6,"7
(Strongly Agree)
",2,5,2,4,3,2,"1
(Strongly Disagree)
",2,6,2,3,3,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played on a high school team.,I've played on a college team.",D1 college,"Informally to teammates during timeouts or on the sidelines.,I've taught a clinic to players in middle school or younger.,I've taught a clinic to players in high school or above.",Both,40 yards or more,40 yards or more,Deep Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,"no, just standard practice","yes, directions when the dude was on the other side was difficult",nope,differentiating home from away seemed much faster than forehand and backhand,38833485,58839785,2
57,18,not english,right,female,heterosexual,asian,6,3,6,6,"7
(Strongly Agree)
",2,"7
(Strongly Agree)
","1
(Strongly Disagree)
","7
(Strongly Agree)
",3,4,"1
(Strongly Disagree)
",2,5,2,19,17,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.",FPSL,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.,I've taught a clinic to players in middle school or younger.,I've taught a clinic to players in high school or above.,I coach a high school, college, club, or professional team.",Both,40 yards or more,20-40 yards,Anywhere,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,Ok. Not really,got turned around on a couple,after getting the codes the page is blank.  Not sure what to do at that point.,,31598815,60510916,1
37,18,english,right,female,heterosexual,white,3,5,5,6,4,5,5,3,5,5,5,3,5,5,3,17,8,"I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.","consistent, midrange player-not a liability, not a huge asset. Good at D",Informally to teammates during timeouts or on the sidelines.,Cutter,10-20 yards,10-20 yards,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,"during the frisbee questions I was aware of more implications. I visualized defenders and open space, not just the person with the disc","I was trying to go too fast. I would recognize when I would say ""right"" in my head, my right hand hit that key, even when that wasn't the answer I wanted. there were several times when I immediately knew I hadn't hit what I wanted. ",no,,15016853,61216562,2
23,16,english,right,male,heterosexual,white,6,4,5,6,5,2,4,3,4,2,4,2,4,5,2,5,5,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.",FPSL,I've captained a recreational team.,Cutter,20-40 yards,20-40 yards,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,,messed up once or twice because I was going rto fast but then tried to correct myself by hitting the correct one as fast as I could ,Harder than the frisbee had a slower more confused time when the person was facing me,no,no,2987802,61853264,1
