Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, Participant ID, date, expName, frameRate
, , space, 0.2010000000000005, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.1479999999999997, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.10099999999999909, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.05100000000000193, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , 0, 1.918999999999997, space, 0.6179999999999986, left, 2.5189999999999984, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.3340000000000032, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 0.016000000000005343, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 0.6340000000000003, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.5519999999999996, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 0.1490000000000009, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 5, navNearRight.jpg, Go home., right, , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 0.009000000000000341, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 6, 6, 6, navNearLeft.jpg, Go away., right, , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 0.08199999999999363, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 7, 7, 7, navFarLeft.jpg, Go right., left, , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , space, 4.120999999999995, right, 0, 0.3340000000000032, , , , , , , , , , , , navFarLeft.jpg, Go right. , left, , , , , navFarLeft.jpg, Go right. , left, 0, 0, 0, 12, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.48499999999999943, , , , , , , , , , , , navNearLeft.jpg, Go left. , left, , , , , navNearLeft.jpg, Go left. , left, 0, 1, 1, 10, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 0, 0.10000000000000853, , , , , , , , , , , , navNearRight.jpg, Go home., right, , , , , navNearRight.jpg, Go home., right, 0, 2, 2, 3, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 14.564999999999998, , , , , , , , , , , , navFarRight.jpg, Go left. , right, , , , , navFarRight.jpg, Go left. , right, 0, 3, 3, 9, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 78.865, , , , , , , , , , , , navNearLeft.jpg, Go home., left, , , , , navNearLeft.jpg, Go home., left, 0, 4, 4, 2, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 20.989000000000004, , , , , , , , , , , , navNearRight.jpg, Go right. , right, , , , , navNearRight.jpg, Go right. , right, 0, 5, 5, 15, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 70.84100000000001, , , , , , , , , , , , navFarRight.jpg, Go right. , left, , , , , navFarRight.jpg, Go right. , left, 0, 6, 6, 13, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 0, 0.7669999999999959, , , , , , , , , , , , navFarRight.jpg, Go home., right, , , , , navFarRight.jpg, Go home., right, 0, 7, 7, 1, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 0, 0.16599999999999682, , , , , , , , , , , , navFarLeft.jpg, Go left. , right, , , , , navFarLeft.jpg, Go left. , right, 0, 8, 8, 8, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.14999999999997726, , , , , , , , , , , , navFarLeft.jpg, Go home., left, , , , , navFarLeft.jpg, Go home., left, 0, 9, 9, 0, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.016999999999995907, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 0, 10, 10, 5, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.08299999999996999, , , , , , , , , , , , navNearRight.jpg, Go away. , left, , , , , navNearRight.jpg, Go away. , left, 0, 11, 11, 7, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 0, 1.518000000000029, , , , , , , , , , , , navFarLeft.jpg, Go away. , right, , , , , navFarLeft.jpg, Go away. , right, 0, 12, 12, 4, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 0, 0.01799999999997226, , , , , , , , , , , , navNearLeft.jpg, Go away. , right, , , , , navNearLeft.jpg, Go away. , right, 0, 13, 13, 6, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 21.322000000000003, , , , , , , , , , , , navNearLeft.jpg, Go right. , right, , , , , navNearLeft.jpg, Go right. , right, 0, 14, 14, 14, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 9.659999999999968, , , , , , , , , , , , navNearRight.jpg, Go left. , left, , , , , navNearRight.jpg, Go left. , left, 0, 15, 15, 11, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 30.733000000000004, , , , , , , , , , , , navNearLeft.jpg, Go away. , right, , , , , navNearLeft.jpg, Go away. , right, 1, 0, 16, 6, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 0.08199999999999363, , , , , , , , , , , , navFarRight.jpg, Go right. , left, , , , , navFarRight.jpg, Go right. , left, 1, 1, 17, 13, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 16.016999999999996, , , , , , , , , , , , navFarRight.jpg, Go home., right, , , , , navFarRight.jpg, Go home., right, 1, 2, 18, 1, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 9.510000000000048, , , , , , , , , , , , navFarLeft.jpg, Go right. , left, , , , , navFarLeft.jpg, Go right. , left, 1, 3, 19, 12, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 0.2680000000000291, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 1, 4, 20, 5, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 0.051000000000044565, , , , , , , , , , , , navFarLeft.jpg, Go home., left, , , , , navFarLeft.jpg, Go home., left, 1, 5, 21, 0, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 0.049000000000035016, , , , , , , , , , , , navNearRight.jpg, Go away. , left, , , , , navNearRight.jpg, Go away. , left, 1, 6, 22, 7, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 0.14999999999997726, , , , , , , , , , , , navNearLeft.jpg, Go left. , left, , , , , navNearLeft.jpg, Go left. , left, 1, 7, 23, 10, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 0.11600000000004229, , , , , , , , , , , , navNearRight.jpg, Go left. , left, , , , , navNearRight.jpg, Go left. , left, 1, 8, 24, 11, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 0.08300000000002683, , , , , , , , , , , , navNearLeft.jpg, Go home., left, , , , , navNearLeft.jpg, Go home., left, 1, 9, 25, 2, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.10000000000002274, , , , , , , , , , , , navFarLeft.jpg, Go away. , right, , , , , navFarLeft.jpg, Go away. , right, 1, 10, 26, 4, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 3.953999999999951, , , , , , , , , , , , navNearRight.jpg, Go home., right, , , , , navNearRight.jpg, Go home., right, 1, 11, 27, 3, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 14.716000000000008, , , , , , , , , , , , navFarLeft.jpg, Go left. , right, , , , , navFarLeft.jpg, Go left. , right, 1, 12, 28, 8, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 0, 0.10099999999999909, , , , , , , , , , , , navNearRight.jpg, Go right. , right, , , , , navNearRight.jpg, Go right. , right, 1, 13, 29, 15, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 66.00199999999995, , , , , , , , , , , , navNearLeft.jpg, Go right. , right, , , , , navNearLeft.jpg, Go right. , right, 1, 14, 30, 14, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.03300000000001546, , , , , , , , , , , , navFarRight.jpg, Go left. , right, , , , , navFarRight.jpg, Go left. , right, 1, 15, 31, 9, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 12.57899999999995, , , , , , , , , , , , navNearRight.jpg, Go left. , left, , , , , navNearRight.jpg, Go left. , left, 2, 0, 32, 11, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 0, 1.4009999999999536, , , , , , , , , , , , navFarRight.jpg, Go home., right, , , , , navFarRight.jpg, Go home., right, 2, 1, 33, 1, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 3.15199999999993, , , , , , , , , , , , navFarLeft.jpg, Go away. , right, , , , , navFarLeft.jpg, Go away. , right, 2, 2, 34, 4, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.41800000000000637, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 2, 3, 35, 5, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.36599999999998545, , , , , , , , , , , , navNearLeft.jpg, Go left. , left, , , , , navNearLeft.jpg, Go left. , left, 2, 4, 36, 10, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.2839999999999918, , , , , , , , , , , , navFarLeft.jpg, Go left. , right, , , , , navFarLeft.jpg, Go left. , right, 2, 5, 37, 8, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 0, 0.2999999999999545, , , , , , , , , , , , navNearRight.jpg, Go home., right, , , , , navNearRight.jpg, Go home., right, 2, 6, 38, 3, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 0.45100000000002183, , , , , , , , , , , , navNearLeft.jpg, Go home., left, , , , , navNearLeft.jpg, Go home., left, 2, 7, 39, 2, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 0, 0.4840000000000373, , , , , , , , , , , , navNearRight.jpg, Go right. , right, , , , , navNearRight.jpg, Go right. , right, 2, 8, 40, 15, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.4839999999999236, , , , , , , , , , , , navNearLeft.jpg, Go right. , right, , , , , navNearLeft.jpg, Go right. , right, 2, 9, 41, 14, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 1.0849999999999227, , , , , , , , , , , , navNearLeft.jpg, Go away. , right, , , , , navNearLeft.jpg, Go away. , right, 2, 10, 42, 6, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.6499999999999773, , , , , , , , , , , , navNearRight.jpg, Go away. , left, , , , , navNearRight.jpg, Go away. , left, 2, 11, 43, 7, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.8669999999999618, , , , , , , , , , , , navFarLeft.jpg, Go home., left, , , , , navFarLeft.jpg, Go home., left, 2, 12, 44, 0, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 0, 0.6499999999999773, , , , , , , , , , , , navFarRight.jpg, Go left. , right, , , , , navFarRight.jpg, Go left. , right, 2, 13, 45, 9, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 0.3669999999999618, , , , , , , , , , , , navFarRight.jpg, Go right. , left, , , , , navFarRight.jpg, Go right. , left, 2, 14, 46, 13, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 0.66700000000003, , , , , , , , , , , , navFarLeft.jpg, Go right. , left, , , , , navFarLeft.jpg, Go right. , left, 2, 15, 47, 12, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 2.0860000000000127, , , , , , , , , , , , navFarLeft.jpg, Go right. , left, , , , , navFarLeft.jpg, Go right. , left, 3, 0, 48, 12, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.0850000000000364, , , , , , , , , , , , navNearRight.jpg, Go left. , left, , , , , navNearRight.jpg, Go left. , left, 3, 1, 49, 11, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.9290000000000873, , , , , , , , , , , , navFarRight.jpg, Go home., right, , , , , navFarRight.jpg, Go home., right, 3, 2, 50, 1, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.8999999999999773, , , , , , , , , , , , navNearLeft.jpg, Go away. , right, , , , , navNearLeft.jpg, Go away. , right, 3, 3, 51, 6, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 0, 0.9349999999999454, , , , , , , , , , , , navFarRight.jpg, Go left. , right, , , , , navFarRight.jpg, Go left. , right, 3, 4, 52, 9, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.8349999999999227, , , , , , , , , , , , navNearRight.jpg, Go right. , right, , , , , navNearRight.jpg, Go right. , right, 3, 5, 53, 15, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 0.9519999999999982, , , , , , , , , , , , navFarRight.jpg, Go right. , left, , , , , navFarRight.jpg, Go right. , left, 3, 6, 54, 13, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.0339999999999918, , , , , , , , , , , , navFarLeft.jpg, Go home., left, , , , , navFarLeft.jpg, Go home., left, 3, 7, 55, 0, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.8350000000000364, , , , , , , , , , , , navNearRight.jpg, Go home., right, , , , , navNearRight.jpg, Go home., right, 3, 8, 56, 3, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.9670000000000982, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 3, 9, 57, 5, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.7839999999999918, , , , , , , , , , , , navNearLeft.jpg, Go left. , left, , , , , navNearLeft.jpg, Go left. , left, 3, 10, 58, 10, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.7349999999999, , , , , , , , , , , , navFarLeft.jpg, Go away. , right, , , , , navFarLeft.jpg, Go away. , right, 3, 11, 59, 4, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.6000000000000227, , , , , , , , , , , , navNearRight.jpg, Go away. , left, , , , , navNearRight.jpg, Go away. , left, 3, 12, 60, 7, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.8690000000000282, , , , , , , , , , , , navFarLeft.jpg, Go left. , right, , , , , navFarLeft.jpg, Go left. , right, 3, 13, 61, 8, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.8339999999999463, , , , , , , , , , , , navNearLeft.jpg, Go right. , right, , , , , navNearLeft.jpg, Go right. , right, 3, 14, 62, 14, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.8509999999999991, , , , , , , , , , , , navNearLeft.jpg, Go home., left, , , , , navNearLeft.jpg, Go home., left, 3, 15, 63, 2, 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
